OBJECTID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,Pop25P_e,Pop25P_m,NoHS_e,NoHS_m,pNoHS_e,pNoHS_m,SomeHS_e,SomeHS_m,pSomeHS_e,pSomeHS_m,HSGrad_e,HSGrad_m,pHSGrad_e,pHSGrad_m,SomeColl_e,SomeColl_m,pSomeColl_e,pSomeColl_m,Associates_e,Associates_m,pAssociates_e,pAssociates_m,BA_e,BA_m,pBA_e,pBA_m,GradProf_e,GradProf_m,pGradProf_e,pGradProf_m,LtHS_e,LtHS_m,pLtHS_e,pLtHS_m,HSPlus_e,HSPlus_m,pHSPlus_e,pHSPlus_m,BAPlus_e,BAPlus_m,pBAPlus_e,pBAPlus_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
1,30164,Yes,Northeast Georgia,3247,ZCTA,ZCTA5 30164,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,,,,,0.0189053008188895,5.60488042455416e-06
2,30168,Yes,Atlanta Regional Commission,3249,ZCTA,ZCTA5 30168,16502,945,2336,508,14.2,3,1295,320,7.8,1.9,4904,652,29.7,3.6,3676,512,22.3,2.8,1032,266,6.3,1.6,2052,355,12.4,2,1207,317,7.3,1.9,3631,600,22,3.4,12871,993,78,4,3259,476,19.7,2.7,,,,,0.408551330439556,0.0031811513535994
3,31401,No,Coastal Regional Commission,3684,ZCTA,ZCTA5 31401,11343,624,378,117,3.3,1,932,176,8.2,1.5,2282,315,20.1,2.6,2492,280,22,2.2,571,128,5,1.1,2829,249,24.9,1.7,1859,197,16.4,1.5,1310,211,11.5,1.8,10033,543,88.5,6.8,4688,317,41.3,1.6,,,,,0.235835237402041,0.00127405137504976
4,30170,Partial,Three Rivers,3250,ZCTA,ZCTA5 30170,1876,254,185,76,9.9,3.8,141,54,7.5,2.7,740,136,39.4,4.9,376,108,20,5.1,80,37,4.3,1.9,221,92,11.8,4.6,133,53,7.1,2.7,326,93,17.4,4.4,1550,207,82.6,15.7,354,106,18.9,5,,,,,0.787205467465563,0.0114523727556177
5,30171,Partial,Northwest Georgia,3251,ZCTA,ZCTA5 30171,2290,381,172,105,7.5,4.4,103,54,4.5,2.2,1016,224,44.4,6.4,663,182,29,6.3,124,81,5.4,3.4,121,66,5.3,2.8,91,61,4,2.6,275,118,12,4.8,2015,313,88,20,212,90,9.3,3.6,,,,,1.0540303340223,0.0134076413484541
6,30173,No,Northwest Georgia,3252,ZCTA,ZCTA5 30173,4010,477,324,155,8.1,3.8,514,180,12.8,4.2,1551,284,38.7,5.4,644,173,16.1,3.9,221,111,5.5,2.7,565,211,14.1,5,191,99,4.8,2.4,838,238,20.9,5.4,3172,421,79.1,4.6,756,233,18.9,5.4,,,,,0.577415506063328,0.00858432324010193
7,30175,No,Northwest Georgia,3253,ZCTA,ZCTA5 30175,3838,430,302,124,7.9,3.1,399,127,10.4,3.1,1313,254,34.2,5.4,1099,248,28.6,5.6,146,93,3.8,2.4,342,128,8.9,3.2,237,106,6.2,2.7,701,178,18.3,4.2,3137,403,81.7,5.1,579,167,15.1,4,,,,,1.27908981232796,0.0224440785488201
8,31641,No,Southern Georgia,3761,ZCTA,ZCTA5 31641,1551,353,18,38,1.2,2.4,204,104,13.2,6,509,179,32.8,8.8,531,195,34.2,9.9,15,21,1,1.4,182,78,11.7,4.2,92,65,5.9,3.9,222,111,14.3,6.4,1329,284,85.7,26.8,274,101,17.7,5.1,,,,,1.00446604969967,0.0207947249700828
9,30176,No,Northwest Georgia,3254,ZCTA,ZCTA5 30176,4443,431,255,149,5.7,3.3,580,252,13.1,5.5,1677,322,37.7,6.3,1008,271,22.7,5.7,316,149,7.1,3.3,329,135,7.4,2.9,278,156,6.3,3.5,835,293,18.8,6.3,3608,492,81.2,7.8,607,206,13.7,4.4,,,,,0.970192286400783,0.0211347106336503
10,31642,No,Southern Georgia,3762,ZCTA,ZCTA5 31642,3002,246,381,116,12.7,3.7,407,114,13.6,3.6,1382,228,46,6.6,445,132,14.8,4.2,171,68,5.7,2.2,143,68,4.8,2.2,73,49,2.4,1.6,788,162,26.2,5,2214,285,73.8,7.3,216,84,7.2,2.7,,,,,1.64119010542039,0.0456292817979216
