FID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,TotalHH_e18,TotalHH_m18,HHIncLt10k_e18,HHIncLt10k_m18,pHHIncLt10k_e18,pHHIncLt10k_m18,HHInc10_15k_e18,HHInc10_15k_m18,pHHInc10_15k_e18,pHHInc10_15k_m18,HHInc15_25k_e18,HHInc15_25k_m18,pHHInc15_25k_e18,pHHInc15_25k_m18,HHInc25_35k_e18,HHInc25_35k_m18,pHHInc25_35k_e18,pHHInc25_35k_m18,HHInc35_50k_e18,HHInc35_50k_m18,pHHInc35_50k_e18,pHHInc35_50k_m18,HHInc50_75k_e18,HHInc50_75k_m18,pHHInc50_75k_e18,pHHInc50_75k_m18,HHInc75_100k_e18,HHInc75_100k_m18,pHHInc75_100k_e18,pHHInc75_100k_m18,HHInc100_150k_e18,HHInc100_150k_m18,pHHInc100_150k_e18,pHHInc100_150k_m18,HHInc150_200k_e18,HHInc150_200k_m18,pHHInc150_200k_e18,pHHInc150_200k_m18,HHInc200kP_e18,HHInc200kP_m18,pHHInc200kP_e18,pHHInc200kP_m18,HHIncLt35k_e18,HHIncLt35k_m18,pHHIncLt35k_e18,pHHIncLt35k_m18,HHInc35_75k_e18,HHInc35_75k_m18,pHHInc35_75k_e18,pHHInc35_75k_m18,HHInc75_200k_e18,HHInc75_200k_m18,pHHInc75_200k_e18,pHHInc75_200k_m18,mMedHHInc_e18,mMedHHInc_m18,tAggregateHHInc_e18,tAggregateHHInc_m18,aMeanHHIncome_e18,aMeanHHIncome_m18,HHwEarnings_e18,HHwEarnings_m18,pHHwEarnings_e18,pHHwEarnings_m18,aHHMeanEarnings_e18,aHHMeanEarnings_m18,HHSocSec_e18,HHSocSec_m18,pHHSocSec_e18,pHHSocSec_m18,aMeanSocSec_e18,aMeanSocSec_m18,HHRetirement_e18,HHRetirement_m18,pHHRetirement_e18,pHHRetirement_m18,aMeanRetirement_e18,aMeanRetirement_m18,HHSSI_e18,HHSSI_m18,pHHSSI_e18,pHHSSI_m18,aMeanSSI_e18,aMeanSSI_m18,HHPubAsst_e18,HHPubAsst_m18,pHHPubAsst_e18,pHHPubAsst_m18,aMeanPubAsst_e18,aMeanPubAsst_m18,HHFs_e18,HHFs_m18,pHHFs_e18,pHHFs_m18,TotPop_e18,TotPop_m18,rPerCapitaInc_e18,rPerCapitaInc_m18,SHAPE_Length,SHAPE_Area
1,Atlanta Regional Commission,Yes,NPUF,3026,NPU,NPU F,13904,365,864,205,6.2,1.5,223,96,1.6,0.7,635,184,4.6,1.3,782,202,5.6,1.4,1074,238,7.7,1.7,2269,331,16.3,2.3,1752,276,12.6,2,2137,317,15.4,2.2,1172,236,8.4,1.7,2997,272,21.6,1.9,2504,354,18,2.5,3343,407,24,2.9,5061,482,36.4,3.3,90780,3339,2054703518,119380839,147775,7660,12298,417,88.4,1.9,149419,8161,2053,228,14.8,1.6,20740,1301,1258,201,9,1.4,44411,11117,303,122,2.2,0.9,10337,3934,46,56,0.3,0.4,0,0,521,184,3.7,1.3,33903,1203,63039.1,2744,0.166749890850792,0.00119135958697003
2,Atlanta Regional Commission,Yes,NPUH,3028,NPU,NPU H,5559,253,833,191,15,3.4,580,159,10.4,2.8,982,267,17.7,4.7,671,194,12.1,3.4,834,250,15,4.4,895,260,16.1,4.6,343,152,6.2,2.7,302,173,5.4,3.1,81,62,1.5,1.1,38,46,0.7,0.8,3067,413,55.2,7,1729,361,31.1,6.3,726,238,13.1,4.2,31523,1874,235685778,27659116,42394,4587,3676,350,66.1,5.5,43647,6037,2221,280,39.9,4.7,13395,736,1164,219,20.9,3.8,27685,6701,718,210,12.9,3.7,9246,1505,212,103,3.8,1.9,1284,1014,2072,302,37.3,5.2,16408,1258,16713.6,1564,0.243285226422359,0.00158758629518088
3,Atlanta Regional Commission,Yes,NPUG,3027,NPU,NPU G,4058,198,472,146,11.6,3.5,423,161,10.4,3.9,626,176,15.4,4.3,859,195,21.2,4.7,697,215,17.2,5.2,595,173,14.7,4.2,159,80,3.9,2,156,76,3.8,1.9,29,24,0.7,0.6,43,36,1.1,0.9,2379,341,58.6,7.9,1292,276,31.8,6.6,344,113,8.5,2.8,30600,1521,161561563,16906697,39811,3686,2675,304,65.9,6.8,42314,2278,1354,193,33.4,4.5,13434,2677,864,183,21.3,4.4,23954,11523,320,124,7.9,3,8885,1370,205,100,5.1,2.4,3253,1716,1284,235,31.6,5.6,9736,1078,18404.8,216.7,0.211253601603538,0.00141839368098728
4,Atlanta Regional Commission,Yes,NPUD,3024,NPU,NPU D,5608,286,222,135,4,2.4,221,121,3.9,2.1,374,162,6.7,2.9,230,126,4.1,2.2,630,221,11.2,3.9,1071,251,19.1,4.4,737,236,13.1,4.2,1027,220,18.3,3.8,565,165,10.1,2.9,531,147,9.5,2.6,1048,274,18.7,4.8,1701,335,30.3,5.8,2329,362,41.5,6.1,76883,4758,548461634,46676163,97793,6658,5077,309,90.5,3,99418,5726,522,172,9.3,3,15366,1568,376,155,6.7,2.7,22277,3210,87,65,1.5,1.2,10394,5231,32,38,0.6,0.7,0,0,152,80,2.7,1.4,12044,745,47011.5,2706.1,0.219197048230008,0.00163532655689847
5,Atlanta Regional Commission,Yes,NPUC,3023,NPU,NPU C,9033,327,306,122,3.4,1.3,202,105,2.2,1.2,355,132,3.9,1.5,364,138,4,1.5,867,230,9.6,2.5,1440,278,15.9,3,1037,208,11.5,2.3,1333,243,14.8,2.6,714,169,7.9,1.9,2414,253,26.7,2.6,1228,249,13.6,2.7,2308,361,25.5,3.9,3083,362,34.1,3.8,98650,5025,1642467587,135193007,181826,13440,7661,335,84.8,2.1,179292,13082,1756,200,19.4,2.1,21530,1129,1053,181,11.7,2,43396,12936,118,57,1.3,0.6,6471,2808,48,46,0.5,0.5,0,0,185,84,2,0.9,19367,818,86883.7,6050.2,0.236779033843444,0.00152621127218451
6,Atlanta Regional Commission,Yes,NPUA,3021,NPU,NPU A,4757,228,98,55,2.1,1.1,107,78,2.3,1.6,162,84,3.4,1.8,112,56,2.4,1.2,285,120,6,2.5,477,134,10,2.8,331,111,7,2.3,700,161,14.7,3.3,410,125,8.6,2.6,2075,220,43.6,4.1,479,139,10.1,2.9,762,180,16,3.7,1441,232,30.3,4.7,162949,15836,1340102547,139342068,281728,26003,4030,236,84.7,2.9,275089,26134,1170,161,24.6,3.2,24728,1890,593,137,12.5,2.8,64132,29999,59,39,1.2,0.8,10568,6228,42,53,0.9,1.1,0,0,82,71,1.7,1.5,12043,648,113113.4,9887.8,0.316672642702006,0.00289135379740527
7,Atlanta Regional Commission,Yes,NPUB,3022,NPU,NPU B,26704,645,1583,310,5.9,1.2,727,214,2.7,0.8,1271,284,4.8,1.1,1837,357,6.9,1.3,2248,363,8.4,1.3,4340,498,16.3,1.8,2819,375,10.6,1.4,4315,466,16.2,1.7,2030,308,7.6,1.1,5534,451,20.7,1.6,5418,591,20.3,2.2,6588,617,24.7,2.2,9163,673,34.3,2.4,86933,2876,3960061055,230247475,148296,7844,21565,674,80.8,1.6,152999,8091,5466,433,20.5,1.5,21551,1258,2745,362,10.3,1.3,43870,10417,432,180,1.6,0.7,5700,2669,66,69,0.2,0.3,0,0,566,196,2.1,0.7,51019,1538,79847.4,3867.6,0.23257898652244,0.00256942191923914
8,Atlanta Regional Commission,Yes,NPUI,3029,NPU,NPU I,9202,403,1106,268,12,2.9,961,252,10.4,2.7,1482,313,16.1,3.3,1219,290,13.2,3.1,1357,313,14.7,3.3,1579,317,17.2,3.4,603,181,6.6,1.9,545,203,5.9,2.2,226,126,2.5,1.4,124,83,1.4,0.9,4768,563,51.8,5.7,2935,445,31.9,4.6,1374,300,14.9,3.2,33479,1758,455037768,49441372,49450,4917,5945,460,64.6,4.1,51344,6048,3597,368,39.1,3.6,15415,632,2238,306,24.3,3.2,27736,5983,1057,276,11.5,3,10185,1410,240,115,2.6,1.2,2358,1164,3049,366,33.1,3.7,24003,1583,21504.6,1929.2,0.266912635006446,0.00239404494288932
9,Atlanta Regional Commission,Yes,NPUJ,3030,NPU,NPU J,3787,237,600,161,15.8,4.1,456,138,12,3.6,875,183,23.1,4.6,585,149,15.4,3.8,496,146,13.1,3.8,467,130,12.3,3.3,157,65,4.1,1.7,105,67,2.8,1.8,28,42,0.7,1.1,18,34,0.5,0.9,2516,317,66.4,7.3,963,196,25.4,4.9,290,102,7.7,2.7,24545,1447,127167586,15048208,33584,3372,2138,251,56.5,5.6,34909,4829,1854,190,49,4,12663,751,1243,193,32.8,4.7,14741,2360,467,128,12.3,3.3,10025,1484,204,82,5.4,2.1,2219,1063,1289,197,34,4.8,9599,898,15760.4,1341.1,0.172317927198277,0.00111891859990754
10,Atlanta Regional Commission,Yes,NPUK,3031,NPU,NPU K,2997,192,520,127,17.3,4.1,288,94,9.6,3.1,490,129,16.3,4.2,405,117,13.5,3.8,415,121,13.8,4,371,103,12.4,3.4,180,61,6,2,208,73,6.9,2.4,63,37,2.1,1.2,58,37,1.9,1.2,1702,235,56.8,7,785,160,26.2,5.1,451,102,15.1,3.3,28636,2312,137181759,13458567,45770,3406,1964,177,65.5,4.2,52523,4726,1141,152,38.1,4.5,12972,767,557,119,18.6,3.8,18198,4763,461,117,15.4,3.8,9105,1402,163,69,5.4,2.3,2784,1160,1016,151,33.9,4.5,10400,715,18292.7,1283,0.133811493359092,0.00060202613135078
